Designator,Footprint,Quantity,Value,LCSC Part #
AE101,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,Antenna_Shield,
C1,0402,1,18pF,C1549
"C10, C9",0402,2,1uF,C15849
"C11, C18, C26, C7",0402,4,100nF,C14663
"C12, C21, C22, C23, C24, C28, C3, C38, C8",0402,9,2.2nF,C2168957
"C14, C19, C20",0603,3,10uF,C15850
"C15, C25",0402,2,100pF,C14858
"C16, C2, C40",1206,3,100uF 6.3v,C16133
C17,0402,1,100nF,C15849
C27,0402,1,2.7pF,C1561
C29,0402,1,13pF,C393681
C31,0402,1,11pF,C527000
C4,0402,1,16pF,C77590
C5,0402,1,10pF,C32949
C6,0402,1,5.1pF,C60220
D1,0603,1,RED,C2286
D2,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,1,WS2812,
"F1, F2",0402,2,100mA,C369142
FB1,0603,1,"Ferrite Bead, 1A",C160982
FL1,Filter_Mini-Circuits_FV1206,1,LFCN-490+,C3008205
J2,PinHeader_2x03_P2.54mm_Vertical_SMD,1,SAO v.69bis,C192301
J3,PinHeader_2x04_P2.54mm_Vertical_SMD,1,GPIO Header,C192300
J5,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB-C Socket,C2894897
L1,0603,1,27nH,C1330812
L2,0603,1,30nH,C3221803
L3,0603,1,43nH,C1330253
"Q1, Q2",SOT-23,2,SS8050,C2150
Q3,SOT-23,1,AO3400A,
"R1, R16, R21",0402,3,100K,C25803
"R10, R11, R13, R15, R2, R5, R9",0402,7,10K,C25804
"R18, R19, R20",0402,3,1.2K,C22765
R22,0402,1,0R,C17888
R3,0402,1,10K,C22765
R6,0402,1,150R,C22765
"R7, R8",0402,2,5.1K,C26000
"SW1, SW2",SW-Push-SPST-Horizontal-C782857,2,PTT,C455252
SW3,SW_SPST_TL3342,1,Reset,C318884
SW4,SW_SPST_TL3342,1,Program,C318884
U1,DORJI_DRA818V,1,DRA/SA818,
U2,SOT-223-3_TabPin2,1,AZ1117H-3.3TRG1,C110474
U4,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH340K,
U5,ESP32-WROOM-32D,1,ESP32-WROOM-32E-N4,C701341
